Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Year
1,Ray Allen*,SG,37,MIA,23,0,573,74,172,0.43,39,96,0.406,35,76,0.461,0.544,47,54,0.87,13,51,64,29,12,3,27,42,234,allenra02,2012
2,Tony Allen,SG,31,MEM,15,15,422,54,125,0.432,2,8,0.25,52,117,0.444,0.44,44,58,0.759,37,54,91,27,30,5,19,48,154,allento01,2012
3,Chris Andersen,C,34,MIA,20,0,303,46,57,0.807,0,0,,46,57,0.807,0.807,36,49,0.735,32,44,76,3,9,22,11,53,128,anderch01,2012
4,James Anderson,SG,23,HOU,2,0,18,1,5,0.2,0,3,0.0,1,2,0.5,0.2,0,0,,1,3,4,0,0,0,0,2,2,anderja01,2012
5,Carmelo Anthony,PF,28,NYK,12,12,481,126,310,0.406,17,57,0.298,109,253,0.431,0.434,77,87,0.885,11,68,79,19,13,2,31,46,346,anthoca01,2012
6,Joel Anthony,C,30,MIA,14,0,71,3,10,0.3,0,0,,3,10,0.3,0.3,0,0,,10,11,21,0,2,4,3,13,6,anthojo01,2012
7,Darrell Arthur,PF,24,MEM,15,0,175,25,53,0.472,0,2,0.0,25,51,0.49,0.472,8,9,0.889,14,24,38,6,2,4,7,36,58,arthuda01,2012
8,Ömer A??k,C,26,HOU,6,6,208,22,39,0.564,0,0,,22,39,0.564,0.564,30,47,0.638,21,46,67,3,3,10,12,22,74,asikom01,2012
9,D.J. Augustin,PG,25,IND,19,1,316,27,71,0.38,19,48,0.396,8,23,0.348,0.514,25,31,0.806,2,13,15,13,7,0,10,26,98,augusdj01,2012
10,Gustavo Ayón,C,27,MIL,3,0,7,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,0,0,0,0,0,0,0,0,4,ayongu01,2012
