Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
96,Grant Hill*,SF,40,LAC,1,0,20,2,4,0.5,0,0,,2,4,0.5,0.5,0,0,,2,2,4,2,0,0,1,5,4,hillgr01
97,Jordan Hill,PF,25,LAL,3,0,31,5,10,0.5,0,0,,5,10,0.5,0.5,0,0,,2,9,11,1,0,2,0,2,10,hilljo01
98,Kirk Hinrich,PG,32,CHI,4,4,162,16,37,0.432,4,11,0.364,12,26,0.462,0.486,9,14,0.643,1,10,11,23,8,1,8,14,45,hinriki01
99,Ryan Hollins,C,28,LAC,5,0,37,5,9,0.556,0,0,,5,9,0.556,0.556,1,2,0.5,3,2,5,2,0,2,2,10,11,holliry01
100,Al Horford,C,26,ATL,6,6,218,41,83,0.494,0,0,,41,83,0.494,0.494,18,27,0.667,12,41,53,18,6,5,9,17,100,horfoal01
101,Dwight Howard,C,27,LAL,4,4,126,26,42,0.619,0,0,,26,42,0.619,0.619,16,36,0.444,10,33,43,4,2,8,16,17,68,howardw01
102,Kris Humphries,PF,27,BRK,7,0,83,14,31,0.452,0,0,,14,31,0.452,0.452,3,7,0.429,10,13,23,1,1,3,2,15,31,humphkr01
103,Serge Ibaka,PF,23,OKC,11,11,366,59,135,0.437,4,9,0.444,55,126,0.437,0.452,19,24,0.792,39,53,92,8,0,33,7,38,141,ibakase01
104,Andre Iguodala,SG,29,DEN,6,6,243,38,76,0.5,14,29,0.483,24,47,0.511,0.592,18,25,0.72,9,39,48,32,12,2,17,9,108,iguodan01
105,Ersan ?lyasova,PF,25,MIL,4,4,117,20,46,0.435,4,10,0.4,16,36,0.444,0.478,2,2,1,10,19,29,7,5,1,6,8,46,ilyaser01
106,Jarrett Jack,SG,29,GSW,12,4,426,78,154,0.506,7,24,0.292,71,130,0.546,0.529,43,48,0.896,7,46,53,56,11,4,38,26,206,jackja01
107,Reggie Jackson,PG,22,OKC,11,9,368,57,119,0.479,13,43,0.302,44,76,0.579,0.534,26,29,0.897,4,50,54,40,5,6,21,34,153,jacksre01
108,LeBron James,PF,28,MIA,23,23,960,212,432,0.491,36,96,0.375,176,336,0.524,0.532,136,175,0.777,37,156,193,152,41,18,70,43,596,jamesle01
109,Antawn Jamison,PF,36,LAL,4,0,79,10,23,0.435,5,12,0.417,5,11,0.455,0.543,4,6,0.667,1,6,7,1,1,2,3,9,29,jamisan01
110,Richard Jefferson,SF,32,GSW,7,0,39,4,9,0.444,2,3,0.667,2,6,0.333,0.556,3,9,0.333,2,5,7,1,1,1,0,5,13,jefferi01
111,John Jenkins,SG,21,ATL,4,0,24,0,3,0,0,1,0,0,2,0,0,0,0,,0,2,2,3,0,0,2,2,0,jenkijo01
112,Brandon Jennings,PG,23,MIL,4,4,133,17,57,0.298,6,28,0.214,11,29,0.379,0.351,13,18,0.722,1,8,9,16,9,1,11,6,53,jennibr01
